사용자,날짜/시간,화자,메시지
"uion J","2025. 9. 11. 오후 12:51:26","교사","120의 약수를 찾고 있구나. 그런데 아까 “이렇게 짝을 찾아봤더니 끝났다.” 그런 말이었지?"
"uion J","2025. 9. 11. 오후 12:51:26","학생","아니요?"
"uion J","2025. 9. 11. 오후 12:51:26","교사","(고개를 끄덕이며) 그래? 그럼 일단 네가 찾은 약수를 다 말해봐."
"uion J","2025. 9. 11. 오후 12:51:26","학생","약수요?"
"uion J","2025. 9. 11. 오후 12:51:26","교사","응. 120의 약수는 뭐라고 생각해?"
"uion J","2025. 9. 11. 오후 12:51:26","학생","1, 2, 3, 4, 5, 6, 8, 10, 12, 15, 20, 24, 30, 40, 60, 120이요."
"uion J","2025. 9. 11. 오후 12:51:26","교사","좋아. 잘 찾았네. 그런데 그게 진짜 전부라는 걸 어떻게 알 수 있지?"
"uion J","2025. 9. 11. 오후 12:51:26","학생","혹시 제가 잘못한 건가요?"
"uion J","2025. 9. 11. 오후 12:51:26","교사","잘못한건 아니고 찾은 약수가 전부라는 걸 어떻게 알 수 있는지 물어본거야."
"uion J","2025. 9. 11. 오후 12:51:26","학생","음.. 잘 모르겠어요."
"uion J","2025. 9. 11. 오후 12:51:26","교사","약수 구할 때 어떻게 찾았어?"
"uion J","2025. 9. 11. 오후 12:51:26","학생","소인수분해 했어요."
"uion J","2025. 9. 11. 오후 12:51:26","교사","120을 소인수분해 했구나. 그럼 120을 소인수분해 해서 어떻게 약수를 구했어?"
"uion J","2025. 9. 11. 오후 12:51:26","학생","120을 소인수분해 하니까 120=(2^3)(3)(5)라고 나왔어요. 그리고 2,2^2,2^3,2(3),… 이렇게 구했어요."
"uion J","2025. 9. 11. 오후 12:51:26","교사","맞아, 잘 구했네. 그럼 거기서 2,3,5를 각각 몇번씩 사용할 수 있는지 생각해봐."
"uion J","2025. 9. 11. 오후 12:51:26","교사","생각 해봤어? 어때?"
"uion J","2025. 9. 11. 오후 12:51:26","학생","네. 2는 3번, 3과 5는 1번씩 사용할 수 있어요."
"uion J","2025. 9. 11. 오후 12:51:26","교사","그렇구나. 그럼 3과 5를 한번씩 사용한 15는 약수가 아니겠네?"
"uion J","2025. 9. 11. 오후 12:51:26","학생","네.. 아 아니요. 잠시만요..(잠시 생각한다) 15는 약수가 맞아요!"
"uion J","2025. 9. 11. 오후 12:51:26","교사","맞아. 15는 120의 약수지. 그럼 2가 사용되지 않아도 약수가 될 수 있네?"
"uion J","2025. 9. 11. 오후 12:51:26","학생","그러면 2를 사용하지 않는 경우도 있으니까 2는 총 4번 선택할 수 있어요!"
"uion J","2025. 9. 11. 오후 12:51:26","교사","맞아. 그럼 3이랑 5는?"
"uion J","2025. 9. 11. 오후 12:51:26","학생","2와 마찬가지로 사용하지 않는 방법까지 총 2번 선택할 수 있어요."
"uion J","2025. 9. 11. 오후 12:51:26","교사","맞아. 2는 4번, 3과 5는 2번 선택할 수 있어. 그럼 여기서 무엇을 알 수 있을까?"
"uion J","2025. 9. 11. 오후 12:51:26","학생","음.. 아! 약수의 개수를 알 수 있어요."
"uion J","2025. 9. 11. 오후 12:51:26","교사","그렇지! 그럼 120의 약수의 개수도 알 수 있지?"
"uion J","2025. 9. 11. 오후 12:51:26","학생","네! 120의 약수의 개수는 (4)(2)(2)=16이니까 16개에요."
"uion J","2025. 9. 11. 오후 12:51:26","교사","아까 네가 구한 약수는 몇개였지?"
"uion J","2025. 9. 11. 오후 12:51:26","학생","음.. 16개요! 엇 그럼 다 잘 구한거네요?"
"uion J","2025. 9. 11. 오후 12:51:26","교사","그렇지! 그럼 약수를 전부 구했는지 확인하기 위해서는 인수분해를 이용해서 약수의 개수를 찾으면 되겠네~"
